"Клиент Имя Фамилия (e-17318627), период 01.05.2023 - 17.06.2023"
"Всего по поисковым запросам";;"Ср.расход за день (руб.)";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. позиция показов";"Отказы (%)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"с 01.05.2023 по 17.06.2023";;1578,24;3560;369;10,37;56816,76;153,97;2,88;26,32;1,63;9469,46;6
"Другие поисковые запросы";;-;2;0;0,00;0,00;-;3,00;-;-;-;-

"Поисковый запрос";"Кампания";"№ Кампании";"Группа";"№ Группы";"Условие показа";"Тип условия показа";"Тип соответствия";"Подобранная фраза";"Категория таргетинга";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. позиция показов";"Отказы (%)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"lenovo sr630";"Сервера Lenovo СП-б";87670033;"Lenovo SR630";5192946203;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";12;2;16,67;212,47;106,23;2,50;0,00;-;-;-
"lenovo sr650";"Сервера Lenovo СП-б";87670033;"Lenovo SR650";5192946200;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";4;2;50,00;421,28;210,64;2,75;50,00;-;-;-
"lenovo st550 8sff";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem ST550 - 8393790632891645354";5192335011;"Lenovo ST550 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";8;2;25,00;41,37;20,69;2,00;-;-;-;-
"lenovo tch thinksystem sr530";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192441827;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";5;2;40,00;388,43;194,21;2,00;0,00;-;-;-
"lenovo think system sre 250 v2";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR250 V2";5192968581;"Think System SR250 V2";"фраза";"семантическое";-;"Альтернативные запросы";2;2;100,00;307,14;153,57;1,00;0,00;-;-;-
"lenovo thinksystem de4000f";"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DE4000F - 4065009508881851800";5210268990;"Lenovo ThinkSystem DE4000F -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";5;2;40,00;103,06;51,53;2,20;50,00;-;-;-
"lenovo thinksystem sr250 v2";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR250 V2";5192968581;"Lenovo ThinkSystem SR250 V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";8;2;25,00;176,48;88,24;1,71;100,00;-;-;-
"lenovo thinksystem sr530";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo ThinkSystem SR530 -Rack -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";11;2;18,18;303,20;151,60;2,00;0,00;-;-;-
"lenovo thinksystem sr630";"Сервера Lenovo Юг";87673229;"Lenovo SR630";5192986674;"lenovo thinksystem SR630 -Rack -V2 -V3 -Купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";4;2;50,00;149,41;74,70;2,00;0,00;-;-;-
"lenovo thinksystem sr650 v2 6342";"Сервера Lenovo Москва";87622199;"Lenovo SR650 V2";5192409060;"lenovo thinksystem sr650 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;2;100,00;575,40;287,70;3,50;0,00;-;-;-
sr650;"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"""SR650""";"фраза";"пословное";-;"Целевые запросы";4;2;50,00;371,06;185,53;2,00;50,00;-;-;-
"thinksystem sr630";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo SR630";5194664988;"thinksystem SR630 -lenovo -server -V2 -V3 -сервер -цена";"фраза";"пословное";-;"Целевые запросы";4;2;50,00;304,96;152,48;2,00;0,00;-;-;-
"thinksystem sr630 v2";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;"thinksystem sr630 V2 -lenovo -server -сервер -цена";"фраза";"пословное";-;"Целевые запросы";9;2;22,22;407,25;203,63;2,22;0,00;-;-;-
"thinksystem sr650";"Сервера Lenovo ЦФО";87636764;"Lenovo SR650";5192441845;"thinksystem sr650 -lenovo -server -V2 -V3 -сервер -цена";"фраза";"пословное";-;"Целевые запросы";5;2;40,00;270,95;135,47;2,00;0,00;-;-;-
"thinksystem st50 v2";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem ST50 V2 - 4176949099399303859";5192334994;"ThinkSystem ST50 V2 -Lenovo -Server -Сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";5;2;40,00;76,35;38,18;2,00;0,00;-;-;-
"сервер lenovo thinksystem sr250 v2";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo ThinkSystem SR250 V2";5194661676;"Сервер Lenovo SR250 V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;2;100,00;126,81;63,40;2,00;0,00;-;-;-
"сервер lenovo thinksystem sr630";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"сервер lenovo thinksystem SR630 -7x06a0nm -V2";"фраза";"пословное";-;"Альтернативные запросы";4;2;50,00;417,78;208,89;1,75;0,00;-;-;-
"сервер lenovo thinksystem sr630 v2 7z71cto1ww";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;"сервер lenovo thinksystem sr630 V2 -7x06a0nm";"фраза";"пословное";-;"Альтернативные запросы";2;2;100,00;338,80;169,40;1,50;0,00;-;-;-
"сервер sr530 xeon silver 4210r";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Сервер SR530 -Lenovo -ThinkSystem -Леново";"фраза";"пословное";-;"Альтернативные запросы";3;2;66,67;263,35;131,67;2,67;50,00;-;-;-
"схд de4000";"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DE4000H";5210269001;"СХД DE4000 -Lenovo -ThinkSystem -Леново";"фраза";"пословное";-;"Альтернативные запросы";3;2;66,67;226,32;113,16;4,00;50,00;-;-;-
"4xb7a74955 bkuk lenovo thinksystem серии de 3 84tb 1dwd 2 5 ssd 2u24 купить";"Lenovo Горячие Москва";87571988;"Горячие";5191675769;"Lenovo ThinkSystem купить -SD650 -SN850 -SR250 -SR530 -SR550 -SR570 -SR590 -SR635 -SR655 -SR670 -SR850 -SR850P -SR860 -SR950 -ST250 -ST50 -ST550";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;48,58;48,58;5,00;0,00;-;-;-
"7n47a00129 диск ssd lenovo thinksystem cv1 m 2 2242 32gb sata 6gb s купить";"Lenovo горячие СП-б";87671859;"Горячие";5192967267;"Lenovo ThinkSystem купить";"фраза";"пословное";-;"Альтернативные запросы";6;1;16,67;82,08;82,08;5,00;100,00;-;-;-
"7z73a06cea lenovo tch thinksystem sr650 v2";"Сервера Lenovo ЦФО";87636764;"Lenovo SR650 V2";5192441846;"lenovo thinksystem sr650 V2 -Rack -Купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;263,89;263,89;2,00;100,00;-;-;-
"cервер thinksystem 2x 3rd gen intel xeon scalable processor sr650 v2 купить";"Сервера Lenovo Москва";87622199;"Lenovo SR650 V2";5192409060;"Купить Сервер ThinkSystem SR650 V2";"фраза";"пословное";-;"Альтернативные запросы";2;1;50,00;536,66;536,66;2,00;100,00;-;-;-
de4000;"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DE4000H";5210269001;"""DE4000""";"фраза";"пословное";-;"Альтернативные запросы";2;1;50,00;14,64;14,64;1,00;-;-;-;-
de6000;"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DE6000H - 520644565717883098";5210268982;"""DE6000""";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;16,43;16,43;1,00;-;-;-;-
de6000f;"Lenovo СХД Москва";88644763;"Lenovo ThinkSystem DE6000F - 9208948247933704916";5209699433;"""DE6000F""";"фраза";"пословное";-;"Альтернативные запросы";3;1;33,33;31,38;31,38;1,67;0,00;-;-;-
de6000f;"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DE6000F - 9208948247933704916";5210268999;"""DE6000F""";"фраза";"пословное";-;"Альтернативные запросы";3;1;33,33;33,78;33,78;2,67;-;-;-;-
de6000h;"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DE6000H - 520644565717883098";5210268982;"""DE6000H""";"фраза";"пословное";-;"Альтернативные запросы";5;1;20,00;33,33;33,33;2,20;0,00;-;-;-
dm5000h;"Lenovo СХД Москва";88644763;"Lenovo ThinkSystem DM5000H - 3829785410736129278";5209699422;"""DM5000H""";"фраза";"пословное";-;"Альтернативные запросы";3;1;33,33;33,39;33,39;1,67;0,00;-;-;-
"hdd для сервера lenovo sr250";"Сервера Lenovo Северо-Запад";87670802;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192956570;"Сервер Lenovo SR250 -V2 -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";1;1;100,00;149,01;149,01;1,00;100,00;-;-;-
"ibm thinksystem sr530";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192946182;"ThinkSystem SR530 -Lenovo -Server -Сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;19,37;19,37;1,00;-;-;-;-
"le thinksystem dm5100f nerpa";"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DM5100F - 5782016153821603632";5210268995;"ThinkSystem DM5100F -Lenovo -SHD -СХД -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;118,77;118,77;1,00;0,00;-;-;-
lenovo;"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem SN850 - 4991731666719807887";5192441824;'---autotargeting;"автотаргетинг";-;-;"Широкие запросы";5;1;20,00;89,80;89,80;4,25;100,00;-;-;-
lenovo;"Товарная галерея | Сервера | Россия";89504401;"Новая группа";5222649320;"Сервера";"условие нацеливания ДО";-;-;"Широкие запросы";93;1;1,08;74,92;74,92;6,73;100,00;-;-;-
"lenovo de controller de4000h 2u24 sff 14x7.68tb ssd sw rd";"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DE4000H";5210269001;"Lenovo DE4000H -ThinkSystem -Купить -СХД -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;106,20;106,20;1,00;0,00;-;-;-
"lenovo de240s";"Lenovo СХД Москва";88644763;"Lenovo ThinkSystem DE240S - 5496689671151338878";5209699427;"Lenovo DE240S -ThinkSystem -Купить -СХД -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;9,59;9,59;3,00;-;-;-;-
"lenovo de4000";"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DE4000H";5210269001;"lenovo de4000 -купить -thinksystem -схд";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;12,30;12,30;2,00;-;-;-;-
"lenovo de4000h";"Lenovo СХД Москва";88644763;"Lenovo ThinkSystem DE4000H";5209732145;"Lenovo DE4000H -ThinkSystem -Купить -СХД -Цена";"фраза";"пословное";-;"Альтернативные запросы";5;1;20,00;41,05;41,05;3,20;0,00;-;-;-
"lenovo de4000h";"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DE4000H";5210269001;"Lenovo DE4000H -ThinkSystem -Купить -СХД -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;1;50,00;37,82;37,82;3,50;0,00;-;-;-
"lenovo de6000f";"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DE6000F - 9208948247933704916";5210268999;"Lenovo DE6000F -ThinkSystem -Купить -СХД -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;1;50,00;28,85;28,85;1,50;0,00;-;-;-
"lenovo de6000h";"Lenovo СХД Москва";88644763;"Lenovo ThinkSystem DE6000H - 520644565717883098";5209699416;"Lenovo DE6000H -ThinkSystem -Купить -СХД -Цена";"фраза";"пословное";-;"Альтернативные запросы";3;1;33,33;12,67;12,67;2,67;-;-;-;-
"lenovo dm3000h";"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DM3000H - 8003386787876592573";5210268996;"Lenovo DM3000H -ThinkSystem -Купить -СХД -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;34,60;34,60;1,00;0,00;-;-;-
"lenovo dm7100f старт продаж";"Lenovo СХД Россия";88682372;"Lenovo ThinkSystem DM7100F - 1700328972890200172";5210268984;"Lenovo DM7100F -ThinkSystem -Купить -СХД -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;124,95;124,95;1,00;0,00;-;-;-
"lenovo kit d upgrade raid thinksystem st250 raid hba câble amp flash mech kit 4z57a14087";"Сервера Lenovo Юг";87673229;"Lenovo ThinkSystem ST250 - 3940901538505491239";5192986645;"Lenovo ThinkSystem ST250 -Tower -V2 -Купить -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;49,18;49,18;1,00;-;-;-;-
"lenovo server rack";"Lenovo Горячие Москва";87571988;"Горячие";5191675769;"Сервер Леново Москва";"фраза";"семантическое";-;"Целевые запросы";1;1;100,00;864,13;864,13;1,00;50,00;-;-;-
"lenovo server thinksystem sn550 цена";"Сервера Lenovo ЦФО";87636764;"Lenovo SN550";5192441852;"Цена Lenovo ThinkSystem SN550 -V2";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;75,61;75,61;5,00;0,00;-;-;-
"lenovo servers";"Lenovo Горячие Москва";87571988;"Горячие";5191675769;"Сервер Леново Москва";"фраза";"семантическое";-;"Широкие запросы";3;1;33,33;331,38;331,38;1,00;0,00;-;-;-
"lenovo sn550";"Сервера Lenovo Поволжье";87672026;"Lenovo SN550";5192968580;"Lenovo SN550 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;63,20;63,20;1,00;0,00;-;-;-
"lenovo sn550";"Сервера Lenovo Сибирь";87794735;"Lenovo SN550";5194659710;"Lenovo SN550 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";3;1;33,33;89,09;89,09;2,00;0,00;-;-;-
"lenovo sr250";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192335014;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";5;1;20,00;48,33;48,33;2,20;0,00;-;-;-
"lenovo sr250 manual на русском";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo ThinkSystem SR250 - 8851782002052089839";5194664982;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Широкие запросы";1;1;100,00;80,89;80,89;1,00;0,00;-;-;-
"lenovo sr250 v2";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR250 V2";5192409067;"Lenovo SR250 V2 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;72,17;72,17;2,00;0,00;-;-;-
"lenovo sr250 блок питания";"Сервера Lenovo Поволжье";87672026;"Lenovo ThinkSystem SR250 - 8851782002052089839";5192968570;"Lenovo SR250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;1;50,00;113,60;113,60;1,00;0,00;-;-;-
"lenovo sr530";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Целевые запросы";2;1;50,00;129,74;129,74;2,00;0,00;-;-;-
"lenovo sr530 7x08cto1ww";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR530 - 5815338548928577995";5192334999;"Lenovo SR530 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;105,02;105,02;2,00;0,00;-;-;-
"lenovo sr630";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";18;1;5,56;123,63;123,63;2,56;0,00;-;-;-
"lenovo sr630";"Сервера Lenovo ЦФО";87636764;"Lenovo SR630";5192441848;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";6;1;16,67;75,67;75,67;2,00;0,00;-;-;-
"lenovo sr630";"Сервера Lenovo Северо-Запад";87670802;"Lenovo SR630";5192956576;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;283,96;283,96;2,00;0,00;-;-;-
"lenovo sr630";"Сервера Lenovo Поволжье";87672026;"Lenovo SR630";5192968576;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;1;50,00;153,78;153,78;2,00;-;-;-;-
"lenovo sr630 v2";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;"lenovo sr630 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";5;1;20,00;133,36;133,36;2,60;0,00;-;-;-
"lenovo sr630 v2 datasheet";"Сервера Lenovo Москва";87622199;"Lenovo SR630 V2";5192409061;"lenovo sr630 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"не определена";1;1;100,00;133,51;133,51;1,00;100,00;-;-;-
"lenovo sr630 xeon 4214rx2 128gb 930 8i 2g 2x1.92tb sata ssd 2 5 4x1gb rj 45 2x10gb sfp+ 2x750w";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"lenovo SR630 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;85,10;85,10;2,00;0,00;-;-;-
"lenovo sr635";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR635 - 2785872760011704628";5192946170;"Lenovo SR635 -ThinkSystem -V3 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;72,79;72,79;1,00;0,00;-;-;-
"lenovo sr650";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";6;1;16,67;339,53;339,53;2,00;0,00;-;-;-
"lenovo sr650";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo SR650";5194661668;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;206,47;206,47;2,00;0,00;-;-;-
"lenovo sr650 7x06";"Сервера Lenovo СП-б";87670033;"Lenovo SR650";5192946200;"леново sr650 -V2 -V3 -Сервер";"фраза";"семантическое";-;"Альтернативные запросы";2;1;50,00;197,12;197,12;1,50;0,00;-;-;-
"lenovo sr650 v2";"Сервера Lenovo Поволжье";87672026;"Lenovo SR650 V2";5192968574;"lenovo sr650 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;138,53;138,53;2,00;100,00;-;-;-
"lenovo sr650 карта qlogic 16gb";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;267,59;267,59;2,00;0,00;-;-;-
"lenovo sr850";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR850 - 7946530344873454756";5192335008;"Lenovo SR850 -ThinkSystem -V2 -V3 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";10;1;10,00;19,90;19,90;2,89;0,00;-;-;-
"lenovo sr850 v2";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR850 V2";5192409063;"Lenovo SR850 V2 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;1;50,00;77,43;77,43;1,50;0,00;100,00;77,43;1
"lenovo sr950";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR950 - 5858161074362188143";5192335001;"Lenovo SR950 -ThinkSystem -Купить -Сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";3;1;33,33;49,32;49,32;2,00;100,00;-;-;-
"lenovo st250 8sff";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem ST250 - 3940901538505491239";5192946174;"Lenovo ST250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;86,09;86,09;2,00;0,00;-;-;-
"lenovo st550";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem ST550 - 8393790632891645354";5192441839;"Lenovo ST550 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";4;1;25,00;94,64;94,64;1,75;0,00;-;-;-
"lenovo tch thinksystem st250";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem ST250 - 3940901538505491239";5192441819;"Lenovo ThinkSystem ST250 -Tower -V2 -Купить -Цена";"фраза";"пословное";-;"Целевые запросы";1;1;100,00;48,88;48,88;3,00;0,00;-;-;-
"lenovo tch thinksystem st550 tower 4u";"Сервера Lenovo ЦФО";87636764;"Lenovo ThinkSystem ST550 - 8393790632891645354";5192441839;"Lenovo ThinkSystem ST550 Tower";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;132,83;132,83;2,00;0,00;-;-;-
"lenovo think centre m80q i5 10500t q470 8 gb ddr4 2666 hdd 500 gb 256 gb ssd m 2 intel uhd 630 wifi bt 65w win 10 pro 64 rus набор lenovo клавиатура usb мышь usb монитор 27 benq gw2780";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo SR630";5194664988;"lenovo 630 -yoga";"фраза";"пословное";-;"Альтернативные запросы";1;1;100,00;45,95;45,95;1,00;100,00;-;-;-
"lenovo think system sr630";"Сервера Lenovo Москва";87622199;"Lenovo SR630";5192409062;"think system SR630 -V2 -V3";"фраза";"пословное";-;"Целевые запросы";4;1;25,00;177,62;177,62;3,00;0,00;-;-;-
"lenovo think system sr650";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"think system sr650 -V2 -V3";"фраза";"пословное";-;"Целевые запросы";1;1;100,00;110,76;110,76;2,00;0,00;-;-;-
"lenovo thinkserver rs140 купить";"Lenovo Горячие Москва";87571988;"Горячие";5191675769;"Сервер Леново цена";"фраза";"семантическое";-;"Целевые запросы";2;1;50,00;161,55;161,55;1,00;0,00;-;-;-
"lenovo thinkserver ts140 price";"Lenovo Горячие Москва";87571988;"Горячие";5191675769;"Сервер Леново цена";"фраза";"семантическое";-;"Альтернативные запросы";1;1;100,00;42,42;42,42;1,00;-;-;-;-
"lenovo thinkserver ts440 цена";"Lenovo Горячие Москва";87571988;"Горячие";5191675769;"Сервер Леново цена";"фраза";"семантическое";-;"Альтернативные запросы";1;1;100,00;53,91;53,91;1,00;100,00;-;-;-
